# name	url	branch
ant-design	https://github.com/ant-design/ant-design	master
boosted	https://github.com/Orange-OpenSource/Orange-Boosted-Bootstrap	main
canvas-kit	https://github.com/Workday/canvas-kit	master
carbon	https://github.com/carbon-design-system/carbon	main
chakra-ui	https://github.com/chakra-ui/chakra-ui	main
clay	https://github.com/liferay/clay	master
cloudscape	https://github.com/cloudscape-design/components	main
fluentui	https://github.com/microsoft/fluentui	master
geist-font	https://github.com/vercel/geist-font	main
geist-ui	https://github.com/geist-org/geist-ui	master
gestalt	https://github.com/pinterest/gestalt	master
govuk-design-system	https://github.com/alphagov/govuk-design-system	main
govuk-frontend	https://github.com/alphagov/govuk-frontend	main
headless-ui	https://github.com/tailwindlabs/headlessui	main
heroui	https://github.com/heroui-inc/heroui	v3
lightning-design-system	https://github.com/salesforce-ux/design-system	main
mantine	https://github.com/mantinedev/mantine	master
material-ui	https://github.com/mui/material-ui	master
material-web	https://github.com/material-components/material-web	main
pajamas	https://gitlab.com/gitlab-org/gitlab-services/design.gitlab.com.git	main
paste	https://github.com/twilio-labs/paste	main
patternfly	https://github.com/patternfly/patternfly	main
polaris-react	https://github.com/Shopify/polaris-react	main
polaris-tokens	https://github.com/Shopify/polaris-tokens	main
porsche-design-system	https://github.com/porsche-design-system/porsche-design-system	main
primer-css	https://github.com/primer/css	main
primer-primitives	https://github.com/primer/primer-primitives	main
primer-react	https://github.com/primer/react	main
radix-ui	https://github.com/radix-ui/primitives	main
react-spectrum	https://github.com/adobe/react-spectrum	main
shadcn-ui	https://github.com/shadcn-ui/ui	main
spectrum-css	https://github.com/adobe/spectrum-css	main
spectrum-design-data	https://github.com/adobe/spectrum-design-data	main
spectrum-web-components	https://github.com/adobe/spectrum-web-components	main
tdesign	https://github.com/Tencent/tdesign	main
tdesign-react	https://github.com/Tencent/tdesign-react	develop
tdesign-vue-next	https://github.com/Tencent/tdesign-vue-next	develop
uber-baseweb	https://github.com/uber/baseweb	main
uswds	https://github.com/uswds/uswds	develop
